IA.Name,Member.ID,Start.Date,End.Date,IA.ID,IA.Group.1,IA.Group.2,Type,City,Voivodship,Full.Name,Age,Gender,RT.Affiliation,Profession
PAN Institute of the History of Science Education and Technology,4,1979-01-01,1989-02-01,IA01016,PAN,IHSET,Research Institue,NA,NA,Stefan Amsterdamski,60,M,Opposition,Academic Philosophy
Rural Solidarność Szczecin Provincial Founding Committee,7,1980-08-31,1981-12-31,IA01142,RURS,SZPFC,Opposition Group Leadership Body Regional or Local,NA,NA,Piotr Baumgart,47,M,Opposition,Agricultural Worker Technician
Gdańsk Strikes 1980 Supporter,10,1980-08-01,1980-08-31,IA00466,GDST80,NA,Protest Action,Gdańsk,NA,Jan Beszta-Borowski,52,M,Opposition,Farmer
Warsaw University Institute of Theoretical Physics,12,1953-09-01,1985-09-01,IA01355,UW,ITPHYS,Postsecondary School,NA,NA,Grzegorz Białkowski,56,M,Opposition,Academic Physics
Gdańsk University Humanities Division,13,1980-09-01,1989-09-01,IA00477,GU,DHUM,Postsecondary School,Gdańsk,NA,Grzegorz Bierecki,25,M,Opposition,Academic Humanities
Warsaw Polytechnic Mechanical Engineering Division,14,1985-09-01,1989-02-01,IA01300,WPOLY,MED,Postsecondary School,NA,NA,Robert Bitner,22,M,Opposition,Academic Student
Warsaw University Faculty of Chemistry,15,1970-09-01,1976-08-31,IA01329,UW,FCHEM,Postsecondary School,NA,NA,Grzegorz Boguta,36,M,Opposition,Academic Biophysics
PAN Institute of Fundamental Technological Research,16,1976-01-01,1989-02-01,IA01005,PAN,IFTR,Research Institue,NA,NA,Włodzimierz Bojarski,58,M,Opposition,Academic Economist
Jagiellonian University Faculty of Law,19,1951-09-01,1956-12-31,IA00597,UJ,FOL,Postsecondary School,NA,NA,Stefan Bratkowski,54,M,Opposition,Journalist
KWB Bełchatów May 1988 Strike,20,1988-05-01,1988-05-30,IA00632,KWBB,M88,Protest Action,NA,NA,Ryszard Brzuzy,28,M,Opposition,Worker Technician
Warsaw Polytechnic Faculty of Architecture,21,1959-09-01,1968-08-31,IA01301,WPOLY,FARCH,NA,NA,NA,Marek Budzyński,49,M,Opposition,Academic Architect
PAN Institute of Economics,22,1982-01-01,1989-02-01,IA01002,PAN,IEC,Research Institue,NA,NA,Ryszard Bugaj,44,M,Opposition,Academic Economist
KSS-KOR Collaborator,23,1978-01-01,1981-09-30,IA00626,KSSKOR,NA,Opposition Group,NA,NA,Zbigniew Bujak,33,M,Opposition,Worker Electrician
"School of Political Science, Paris",24,1966-09-01,1967-08-31,IA01149,SPSP,NA,NA,NA,NA,Iwo Byczewski,40,M,Opposition,Academic Law
Romuald Targutta Black One Warsaw Scout Team,25,1964-01-01,1972-12-31,IA01133,RTB1WST,NA,Scouting Organization,NA,NA,Andrzej Czeliński,38,M,Opposition,Academic Sociology
Medical Academy Kraków,26,1950-01-01,1989-02-01,IA00719,MEDAK,NA,Postsecondary School,NA,NA,Zbigniew Chłap,59,M,Opposition,Medical Doctor
Medical Academy Poznań Pediatrics Institute,27,1950-01-10,1981-01-01,IA00725,MEDAP,PI,Postsecondary School,NA,NA,Maria Chmiel,59,F,Opposition,Medical Doctor
Warsaw University Faculty of Law and Administration,29,1958-09-01,1969-08-31,IA01336,UW,FLAA,Postsecondary School,NA,NA,Jerzy Ciemniewski,49,M,Opposition,Lawyer
Warsaw University Faculty of History,30,1985-09-01,1989-02-01,IA01333,UW,FHIST,Postsecondary School,NA,NA,Piotr Ciompa,21,M,Opposition,Academic Student
Warsaw Polytechnic Faculty of Electronics,32,1984-09-01,1989-02-01,IA01302,WPOLY,FELEC,Postsecondary School,NA,NA,Piotr Czerwiec,25,M,Opposition,Academic Student
Warsaw Polytechnic Faculty of Electronics,32,1984-09-01,1989-02-01,IA01306,WPOLY,FELECT,Postsecondary School,NA,NA,Piotr Czerwiec,25,M,Opposition,Academic Student
Warsaw Polytechnic Faculty of Chemistry,35,1968-09-01,1989-02-01,IA01304,WPOLY,FCHEM,Postsecondary School,NA,NA,Tadeusz Diem,48,M,Opposition,Academic Chemistry
Łódź University Faculty of Socio-Economics,36,1968-09-01,1989-02-01,IA00691,LU,FOSE,Postsecondary School,NA,NA,Jerzy Dietl,61,M,Opposition,Academic Economics
Textiles Vocational School Łódź,37,1960-09-01,1962-08-31,IA01253,TVSL,NA,Postsecondary School,NA,NA,Jerzy Dłużniewski,43,M,Opposition,Worker Textiles
Home Army,38,1942-01-01,1945-07-01,IA00513,AK,NA,Paramilitary Group,NA,NA,Wladysław Dobrowolski,61,M,Opposition,Academic Economics
Wrocław University Faculty of Math Physics and Chemistry,42,1953-09-01,1956-09-01,IA01391,WRPOLY,FMPHYSC,Postsecondary School,NA,NA,Roman Duda,53,M,Opposition,Academic Mathematics
“Literatura”,44,1974-01-01,1981-12-13,IA00074,LIT,NA,Periodical,NA,NA,Kazimierz Dziewanowski,58,M,Opposition,Journalist
Warsaw University Faculty of Law and Administration,46,1962-09-01,1989-02-01,IA01336,UW,FLAA,Postsecondary School,NA,NA,Lech Falandysz,46,M,Opposition,Lawyer
Central School of Planning and Statistics,47,1946-09-01,1950-08-31,IA00299,SGPIS,NA,Postsecondary School,NA,NA,Wanda Falkowska-Szymańska,65,F,Opposition,Journalist
Association of Polish Youth,48,1948-01-01,1956-12-31,IA00245,ZMP,NA,Independent Society,NA,NA,Dariusz Fikus,56,M,Opposition,Journalist
